Number_of_Vehicles,Accident_Key,Number_of_Casualties,District,Accident_Severity,Month,Year,Day,Time,Junction_Type,Junction_Control,Collision_Type,Road_Type,Weather,Light_Conditions,Road_Character,Surface_Type,Road_Condition,Surface_Condition,Roadworks,Hit_Run,X_Coordinate,Y_Coordinate,longitude,latitude
1,14327,1,Pamplemousses,Slight,Jun,2009,Mon,16:20,Not a junction,Not a junc,Hit animal,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,559510,7772241,57.5694211,-20.14617483
1,14328,2,P Wilhems,Slight,Jun,2009,Fri,12:40,Not a junction,Not a junc,Ran off road,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,551986,7759286,57.4978019,-20.26345599
2,14329,1,P Wilhems,Slight,Jun,2009,Fri,14:45,Not a junction,Not a junc,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,553935,7758050,57.51650132,-20.27457055
2,14330,1,P Wilhems,Slight,Jun,2009,Sat,09:35,Not a junction,Not a junc,Side swipe,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,551882,7757672,57.49685249,-20.27804303
1,14331,1,P Wilhems,Serious,Jun,2009,Wed,08:30,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,553029,7756571,57.50786891,-20.28796022
1,14332,1,P Wilhems,Slight,Jun,2009,Wed,10:20,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,554238,7755602,57.51947656,-20.29668216
1,14333,1,Black River,Slight,Jun,2009,Mon,08:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,Yes,548094,7767877,57.46030577,-20.18592816
2,14334,1,R Rempart,Slight,Jun,2009,Sun,19:25,Not a junction,Not a junc,Head On,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,573575,7777374,57.70378754,-20.09930723
1,14335,2,R Rempart,Slight,Jun,2009,Wed,21:00,Not a junction,Not a junc,Hit object off road,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,573504,7777299,57.70311144,-20.09998763
2,14336,1,R Rempart,Serious,Jun,2009,Mon,22:12,Not a junction,Not a junc,Side swipe,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,Yes,561479,7786565,57.58777796,-20.01667944
1,14337,1,R Rempart,Serious,Jun,2009,Sun,20:30,Not a junction,Not a junc,Hit animal,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,562239,7787246,57.59502061,-20.01050153
1,14338,1,Pamplemousses,Slight,Jun,2009,Thu,17:50,Not a junction,Not a junc,Other,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,557348,7785350,57.54832246,-20.02778516
2,14339,1,Pamplemousses,Slight,Jun,2009,Wed,18:05,Not a junction,Not a junc,Right angle,Two way,Rain,Dawn/dusk,Straight+Flat,Asphalt,Good,Wet,No,No,557238,7784996,57.54728183,-20.03098725
1,14340,1,Pamplemousses,Slight,Jun,2009,Fri,20:20,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,Yes,557190,7784342,57.54684334,-20.03689837
1,14342,1,Port Louis,Slight,Jun,2009,Mon,07:00,Not a junction,Not a junc,Other,Two way,Fair,Daylight,Curve only,Asphalt,Good,Oil or diesel,No,No,549206,7769104,57.47091512,-20.17481257
