Number_of_Vehicles,Accident_Key,Number_of_Casualties,District,Accident_Severity,Month,Year,Day,Time,Junction_Type,Junction_Control,Collision_Type,Road_Type,Weather,Light_Conditions,Road_Character,Surface_Type,Road_Condition,Surface_Condition,Roadworks,Hit_Run,X_Coordinate,Y_Coordinate,longitude,latitude
2,2968,1,P Wilhems,Slight,May,2004,Tue,11:55,T junction,Stop sign,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549790,7757900,57.4768125,-20.27603847
1,2969,1,P Wilhems,Slight,May,2004,Thu,17:45,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Dry,No,No,549718,7758117,57.47611703,-20.27407951
1,2970,1,P Wilhems,Slight,May,2004,Fri,08:15,Roundabout,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549981,7758540,57.47862382,-20.27025039
1,2971,1,P Wilhems,Slight,May,2004,Sat,15:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,548634,7758922,57.46571482,-20.26683334
2,2972,1,P Wilhems,Slight,May,2004,Sat,14:00,T junction,Give way or marking,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,548339,7762391,57.46279712,-20.23549447
1,2973,1,P Wilhems,Slight,May,2004,Sun,02:10,Not a junction,Not a junc,Ran off road,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,550255,7761082,57.48117682,-20.24727343
2,2974,1,P Wilhems,Slight,May,2004,Fri,20:10,Cross,Give way or marking,Head On,Two way,Rain,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,No,549515,7761651,57.47407612,-20.24215116
2,2975,1,P Wilhems,Slight,May,2004,Sat,06:40,Roundabout,Traffic signal,Head On,Dual carriageway,Rain,Dawn/dusk,Straight+Flat,Asphalt,Good,Wet,No,No,550999,7760023,57.48833012,-20.25682297
2,2977,1,P Wilhems,Slight,May,2004,Tue,08:30,Cross,Stop sign,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549163,7761375,57.47071353,-20.24465421
2,2979,1,P Wilhems,Slight,May,2004,Sat,14:40,Cross,Stop sign,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549209,7761302,57.47115594,-20.24531266
1,2983,1,Port Louis,Slight,May,2004,Fri,09:05,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,553593,7771544,57.51282667,-20.15264696
2,2987,1,Port Louis,Fatal,May,2004,Fri,14:30,Not a junction,Not a junc,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549195,7768820,57.47081755,-20.17737913
2,2989,1,Port Louis,Slight,May,2004,Thu,09:20,Cross,Police Off,Right angle,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552212,7770364,57.49964632,-20.16334764
2,2990,1,Port Louis,Slight,May,2004,Thu,12:00,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549287,7769032,57.47169224,-20.1754611
1,2991,1,Port Louis,Slight,May,2004,Tue,11:10,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,551077,7770004,57.48879529,-20.16663117
2,2992,1,Port Louis,Serious,May,2004,Fri,10:15,Cross,Stop sign,Right angle,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552448,7769404,57.50193242,-20.17201594
2,2995,2,Port Louis,Slight,May,2004,Thu,14:45,Cross,Stop sign,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,553865,7770107,57.51547197,-20.16562432
2,2996,1,Port Louis,Slight,May,2004,Mon,19:05,Cross,Stop sign,Right angle,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,554107,7770683,57.5177706,-20.1604127
2,2998,1,Port Louis,Slight,May,2004,Sat,21:00,Cross,Stop sign,Head On,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,554249,7771372,57.51910882,-20.15418279
1,2999,1,P Wilhems,Slight,May,2004,Sun,09:15,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,550228,7756714,57.48103994,-20.2867438
1,3000,1,Moka,Serious,May,2004,Sun,13:15,Not a junction,Not a junc,Other,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,556399,7763462,57.53992768,-20.22559642
1,3001,1,Moka,Fatal,May,2004,Mon,12:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,554996,7763606,57.52649231,-20.22433602
2,3003,1,Moka,Slight,May,2004,Thu,18:50,Not a junction,Not a junc,Side swipe,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,557483,7764226,57.55028056,-20.21866067
1,3004,1,Moka,Slight,May,2004,Fri,14:30,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,562322,7761043,57.59671189,-20.24727087
2,3011,4,Savanne,Slight,May,2004,Mon,21:30,Not a junction,Not a junc,Head On,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,559007,7737881,57.56573464,-20.45666513
1,3012,1,Savanne,Fatal,May,2004,Sun,18:25,Not a junction,Not a junc,Hit object off road,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,558633,7734266,57.56226798,-20.48934105
2,3018,1,R Rempart,Fatal,May,2004,Tue,10:30,Not a junction,Not a junc,Head On,Dual carriageway,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,567322,7784742,57.64370525,-20.03295802
2,3020,2,Pamplemousses,Slight,May,2004,Sun,20:05,Not a junction,Not a junc,Hit parked veh,Two way,Rain,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Wet,No,No,559278,7774584,57.5671249,-20.1250104
1,3023,1,Port Louis,Fatal,May,2004,Sat,18:00,Not a junction,Not a junc,Hit object off road,Two way,Fair,Darkness: Street lights present and lit,Curve only,Asphalt,Good,Dry,No,No,552741,7772083,57.50465855,-20.14780001
1,3024,1,Pamplemousses,Serious,May,2004,Wed,21:05,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,556443,7774373,57.54000934,-20.12700219
2,3027,2,Pamplemousses,Slight,May,2004,Fri,22:10,Not a junction,Not a junc,Rear end,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,556964,7779370,57.54483749,-20.08183311
2,3029,1,Pamplemousses,Slight,May,2004,Sun,19:45,T junction,Give way or marking,Rear end,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,557759,7782061,57.55235593,-20.05749308
1,3030,1,R Rempart,Slight,May,2004,Tue,11:50,Not a junction,Not a junc,Hit object off road,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,562885,7785382,57.6012603,-20.0273241
1,3033,1,R Rempart,Slight,May,2004,Sat,22:15,Not a junction,Not a junc,Hit object on road,Two way,Rain,Darkness:street lights present but unlit,Straight+Flat,Asphalt,Good,Wet,No,No,566141,7781018,57.6325483,-20.06664911
1,3034,1,Pamplemousses,Slight,May,2004,Sat,00:15,Not a junction,Not a junc,Ran off road,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,561010,7782360,57.58343445,-20.05469141
2,3035,1,Pamplemousses,Slight,May,2004,Wed,07:30,Cross,Give way or marking,Right angle,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,561307,7783312,57.5862426,-20.04607959
2,3038,1,R Rempart,Slight,May,2004,Sun,15:30,T junction,Give way or marking,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,573448,7777282,57.70257649,-20.10014337
1,3042,1,R Rempart,Slight,May,2004,Sun,16:15,Not a junction,Not a junc,Ran off road,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,572209,7779853,57.6906235,-20.07695876
2,3043,1,R Rempart,Slight,May,2004,Fri,07:05,T junction,Give way or marking,Right angle,Two way,Fair,Daylight,Curve+incline,Asphalt,Good,Dry,No,No,571266,7781259,57.68155002,-20.06428921
2,3044,1,R Rempart,Slight,May,2004,Fri,08:30,Private entrance,Not a junc,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,563577,7788506,57.60776798,-19.99907253
2,3045,1,R Rempart,Slight,May,2004,Sun,08:15,Not a junction,Not a junc,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,560513,7786497,57.578545,-20.01732431
1,3046,1,R Rempart,Slight,May,2004,Sun,06:05,Not a junction,Not a junc,Other,Two way,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Dry,No,No,559731,7786744,57.57106077,-20.01511663
1,3048,1,Pamplemousses,Slight,May,2004,Thu,19:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,Yes,559720,7771975,57.57143915,-20.14857192
1,3051,2,R Rempart,Slight,May,2004,Thu,09:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,567707,7784446,57.64739724,-20.03561927
2,3054,1,R Rempart,Serious,May,2004,Thu,10:50,Cross,Give way or marking,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,567734,7784424,57.64765621,-20.03581712
2,3058,1,Flacq,Slight,May,2004,Sun,15:55,T junction,Give way or marking,Head On,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,575663,7767705,57.72416184,-20.18659377
1,3059,3,Flacq,Serious,May,2004,Tue,16:30,Not a junction,Not a junc,Hit object off road,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,575107,7768683,57.71880023,-20.17777861
1,3060,3,Flacq,Slight,May,2004,Thu,08:45,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,575428,7766435,57.72196568,-20.19807845
2,3062,2,Flacq,Serious,May,2004,Fri,21:30,Not a junction,Not a junc,Hit parked veh,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,576707,7764957,57.73426961,-20.21138256
1,3063,1,Flacq,Slight,May,2004,Sun,14:00,Cross,Traffic signal,Hit pedestrian,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,575630,7767110,57.72387085,-20.19197136
2,3064,1,Flacq,Slight,May,2004,Mon,19:10,T junction,Give way or marking,Right angle,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,575880,7766987,57.72626866,-20.19307289
2,3065,1,Flacq,Slight,May,2004,Sat,19:45,T junction,Give way or marking,Rear end,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,575539,7768856,57.72292717,-20.17619847
2,3067,1,Flacq,Slight,May,2004,Wed,16:30,Y junction,Traffic signal,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,568797,7769373,57.65838828,-20.17178021
1,3068,1,Flacq,Slight,May,2004,Sun,18:30,T junction,Traffic signal,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,570243,7769033,57.67223898,-20.17480009
1,3074,1,Black River,Slight,May,2004,Sun,20:35,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,543058,7765170,57.41217175,-20.21050884
1,3075,1,Port Louis,Slight,May,2004,Mon,07:30,Not a junction,Not a junc,Other,One way,Fair,Daylight,Curve only,Asphalt,Good,Oil or diesel,No,No,551435,7770209,57.49221536,-20.1647692
1,3076,1,Port Louis,Fatal,May,2004,Wed,17:50,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Dry,No,No,549526,7769179,57.47397548,-20.17412663
2,3077,3,Port Louis,Slight,May,2004,Sun,13:00,Not a junction,Not a junc,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549687,7769297,57.47551301,-20.1730562
1,3078,1,Port Louis,Slight,May,2004,Mon,11:45,Not a junction,Not a junc,Hit animal,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,550884,7769914,57.4869509,-20.16744954
1,3079,1,P Wilhems,Slight,May,2004,Tue,17:10,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552808,7754812,57.505804,-20.30386072
1,3081,1,P Wilhems,Slight,May,2004,Sun,05:30,Not a junction,Not a junc,Ran off road,One way,Fair,Dawn/dusk,Curve only,Asphalt,Good,Dry,No,No,552901,7754861,57.5066933,-20.30341538
2,3084,1,P Wilhems,Slight,May,2004,Wed,07:10,Cross,Give way or marking,Right angle,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,554632,7753438,57.52331577,-20.31622481
1,3085,1,P Wilhems,Slight,May,2004,Wed,18:35,Not a junction,Not a junc,Hit pedestrian,Two way,Rain,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,No,555616,7752676,57.53276469,-20.32308177
1,3086,1,P Wilhems,Slight,May,2004,Sat,18:30,Not a junction,Not a junc,Hit pedestrian,Dual carriageway,Rain,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,No,555196,7753074,57.52872928,-20.31949766
1,3087,1,Port Louis,Slight,Apr,2004,Tue,11:45,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552777,7770236,57.50505669,-20.16448884
2,3088,1,Port Louis,Slight,Apr,2004,Tue,12:50,Not a junction,Not a junc,Rear end,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552871,7770114,57.50595976,-20.16558867
1,3089,1,Port Louis,Fatal,Jan,2003,Sat,06:45,Not a junction,Not a junc,Hit pedestrian,Dual carriageway,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552480,7770746,57.50219985,-20.15988853
2,3090,1,Port Louis,Fatal,Mar,2003,Mon,07:55,Cross,Give way or marking,Head On,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552790,7770328,57.50517842,-20.16365716
1,3091,1,Port Louis,Serious,Jan,2003,Thu,06:30,Not a junction,Not a junc,Hit pedestrian,One way,Fair,Darkness: Street lights present and lit,Curve only,Asphalt,Good,Dry,No,No,552227,7770023,57.49979967,-20.16642857
1,3092,1,Port Louis,Serious,Feb,2003,Sat,01:30,Not a junction,Not a junc,Hit pedestrian,Dual carriageway,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,552316,7770556,57.50063599,-20.16160987
1,3093,3,Port Louis,Slight,Feb,2003,Wed,03:15,Not a junction,Not a junc,Hit object off road,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,549559,7769201,57.47429069,-20.17392698
1,3095,1,Port Louis,Fatal,Mar,2003,Wed,11:25,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,550899,7769924,57.48709416,-20.16735878
2,3096,2,Port Louis,Serious,Apr,2003,Wed,23:00,Not a junction,Not a junc,Head On,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,550896,7769924,57.48706545,-20.16735886
1,3097,1,Port Louis,Fatal,May,2003,Wed,18:20,Not a junction,Not a junc,Hit object off road,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,550887,7769915,57.48697958,-20.16744043
1,3098,1,Port Louis,Serious,Jun,2003,Thu,16:30,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549753,7769334,57.47614361,-20.17272015
2,3099,2,Port Louis,Slight,Mar,2004,Wed,11:05,T junction,Give way or marking,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,550915,7769936,57.48724694,-20.16724993
2,3100,1,Port Louis,Slight,Apr,2004,Tue,08:00,Cross,Give way or marking,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,551443,7770124,57.49229433,-20.16553706
2,3101,1,Port Louis,Slight,Apr,2004,Fri,17:30,Roundabout,Give way or marking,Rear end,Dual carriageway,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,551476,7770330,57.49260428,-20.16367473
2,3102,1,Port Louis,Slight,Apr,2004,Fri,17:20,Cross,Give way or marking,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,550477,7770009,57.48305344,-20.16660184
2,3103,1,Port Louis,Fatal,May,2003,Mon,08:50,Not a junction,Not a junc,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549789,7769358,57.47648747,-20.17250235
1,3104,1,Port Louis,Fatal,May,2003,Fri,11:05,Cross,Give way or marking,Hit pedestrian,One way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,552643,7770786,57.50375845,-20.15952262
2,3105,1,Port Louis,Slight,Jan,2004,Thu,13:40,Cross,Give way or marking,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552841,7770173,57.50567096,-20.16505636
2,3106,1,Port Louis,Slight,Jan,2004,Mon,09:45,T junction,Give way or marking,Side swipe,Dual carriageway,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552333,7770570,57.50079826,-20.1614829
2,3107,1,Port Louis,Slight,Jan,2004,Wed,07:45,Cross,Give way or marking,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,Yes,552939,7770274,57.50660582,-20.16414101
1,3108,1,Port Louis,Slight,Jun,2004,Fri,17:45,Not a junction,Not a junc,Hit object on road,Two way,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Dry,No,No,550769,7769709,57.48585613,-20.169305
2,3109,1,Port Louis,Slight,Mar,2004,Sat,10:55,Cross,Traffic signal,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,553366,7770900,57.51067352,-20.15847257
1,3110,1,Port Louis,Slight,Mar,2004,Wed,16:30,Cross,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552522,7770306,57.50261448,-20.1638633
2,3111,1,Pamplemousses,Fatal,Jan,2003,Tue,07:45,T junction,Give way or marking,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,559646,7771183,57.57075711,-20.1557308
1,3112,1,P Wilhems,Slight,Feb,2004,Mon,09:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549004,7764340,57.46911084,-20.21786611
2,3113,2,P Wilhems,Slight,Feb,2004,Fri,10:45,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,548897,7763597,57.46810665,-20.22458271
1,3115,1,P Wilhems,Slight,Feb,2004,Mon,07:55,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549685,7764274,57.47563164,-20.21844496
1,3116,1,P Wilhems,Slight,Feb,2004,Sun,05:30,Not a junction,Not a junc,Hit object off road,Dual carriageway,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,No,554664,7756811,57.52351986,-20.28574547
1,3117,2,P Wilhems,Slight,Feb,2004,Wed,12:00,Not a junction,Not a junc,Ran off road,Dual carriageway,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,555233,7755894,57.52899714,-20.29401511
2,3118,1,P Wilhems,Slight,Mar,2004,Mon,08:45,Not a junction,Not a junc,Rear end,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,554727,7756345,57.52413735,-20.28995444
1,3119,1,P Wilhems,Slight,Mar,2004,Wed,07:20,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,554787,7754079,57.52478093,-20.3104283
1,3120,1,P Wilhems,Slight,Mar,2004,Wed,13:15,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,554773,7754076,57.52464693,-20.31045581
1,3121,1,P Wilhems,Slight,Apr,2004,Sun,18:30,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,554628,7754724,57.5232384,-20.30460464
1,3124,1,P Wilhems,Slight,Mar,2004,Wed,11:10,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,554960,7753173,57.52646565,-20.31860992
1,3125,1,P Wilhems,Slight,Mar,2004,Tue,13:30,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,554957,7753169,57.52643704,-20.31864615
2,3126,1,P Wilhems,Slight,Mar,2004,Wed,18:00,Cross,Traffic signal,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,554735,7753210,57.5243093,-20.31828206
1,3127,1,P Wilhems,Slight,Mar,2004,Mon,16:55,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,554948,7753313,57.52634643,-20.31734523
1,3128,1,P Wilhems,Slight,Apr,2004,Wed,12:00,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,Yes,554448,7753875,57.52154007,-20.31228135
1,3130,1,P Wilhems,Slight,Apr,2004,Thu,14:45,Not a junction,Not a junc,Other,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,555311,7753428,57.52981996,-20.31629559
2,3131,1,P Wilhems,Fatal,Apr,2003,Thu,20:52,T junction,Give way or marking,Head On,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,Yes,554730,7756878,57.52414989,-20.28513816
1,3132,1,P Wilhems,Slight,May,2003,Sat,12:20,staggered,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,553455,7755869,57.51196951,-20.29429163
1,3133,1,P Wilhems,Serious,Jul,2003,Sun,12:28,Not a junction,Not a junc,Hit object off road,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,553967,7756064,57.51686724,-20.2925152
1,3134,1,P Wilhems,Serious,Aug,2003,Sun,20:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,Yes,553887,7755803,57.51610887,-20.29487586
2,3135,3,P Wilhems,Serious,Aug,2003,Mon,21:20,Not a junction,Not a junc,Head On,Two way,Fair,Darkness: Street lights present and lit,Curve only,Asphalt,Good,Dry,No,No,552195,7757919,57.49984272,-20.2758026
1,3137,1,P Wilhems,Serious,Sept,2003,Sat,19:30,Roundabout,Give way or marking,Hit pedestrian,Two way,Rain,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,No,551856,7757894,57.49659712,-20.27603773
1,3138,1,P Wilhems,Slight,Sept,2003,Tue,15:10,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552671,7757099,57.50442494,-20.2831991
2,3139,1,P Wilhems,Serious,Sept,2003,Mon,10:15,Not a junction,Not a junc,Side swipe,Dual carriageway,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,551936,7758229,57.49735356,-20.27300848
1,3140,1,P Wilhems,Fatal,Mar,2003,Wed,06:55,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,551459,7755421,57.492866,-20.29839464
1,3141,1,R Rempart,Slight,Feb,2003,Sat,01:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Curve only,Asphalt,Good,Dry,No,No,561935,7789060,57.59205311,-19.9941196
1,3142,1,R Rempart,Slight,Feb,2003,Thu,07:40,Not a junction,Not a junc,Hit animal,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,561598,7788899,57.58883717,-19.99558516
2,3143,1,R Rempart,Slight,May,2003,Sat,07:00,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,561435,7786533,57.58735838,-20.01696999
2,3145,1,R Rempart,Serious,Dec,2003,Mon,13:15,Not a junction,Not a junc,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,560783,7786709,57.58111924,-20.01540019
2,3146,1,P Wilhems,Slight,Dec,2003,Tue,15:00,T junction,Give way or marking,Hit parked veh,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,552110,7758113,57.49902314,-20.27405192
1,3147,4,P Wilhems,Fatal,Nov,2003,Sat,04:30,Not a junction,Not a junc,Hit object off road,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,548997,7766435,57.46898713,-20.19893551
1,3148,2,P Wilhems,Fatal,Sept,2003,Sun,19:30,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,548894,7763547,57.46807928,-20.22503459
1,3149,2,P Wilhems,Fatal,Oct,2003,Sat,14:15,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,548893,7763532,57.46807012,-20.22517016
1,3151,3,Black River,Slight,Oct,2003,Sat,09:25,Not a junction,Not a junc,Other,Two way,Fair,Daylight,Curve+incline,Asphalt,Good,Dry,No,No,541130,7741209,57.39426441,-20.42706628
2,3152,2,Black River,Slight,Apr,2003,Mon,18:45,Not a junction,Not a junc,Head On,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,545737,7765256,57.43781371,-20.20966969
1,3153,1,R Rempart,Serious,Aug,2003,Sat,16:10,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,567281,7784820,57.64331037,-20.03225463
1,3154,1,R Rempart,Slight,May,2003,Sat,23:25,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness:street lights present but unlit,Straight+Flat,Asphalt,Good,Dry,No,No,567296,7784849,57.64345272,-20.03199206
2,3155,1,R Rempart,Slight,Oct,2003,Sun,11:30,T junction,Stop sign,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,567253,7784788,57.64304384,-20.03254475
